product_id,seller_id,product_name,category,subcategory,brand,unit_price,cost_price,stock_quantity,product_status,created_date,_dq_issue
P003212,S00759,Digital Blood Pressure Monitor Combo,Health & Wellness,Medical Devices,Generic,1755.78,1441.06,239,Active,2025-10-30,
P007878,S00082,Noise Cancelling Earbuds - Pack of 2,Electronics,Cameras,Sony,54911.29,44365.62,1228,Inactive,2024-04-27,
P006643,S00294,Resistance Bands Set Premium,Sports & Fitness,Sportswear,Cosco,3283.81,2478.31,740,Active,2021-10-04,
P001512,S00591,Portable Bluetooth Speaker Combo,Electronics,Mobiles,JBL,33287.14,28023.52,1837,Active,2020-02-14,
P007860,S00896,Car Vacuum Cleaner - Pack of 2,Automotive,Tools,Michelin,4715.34,3599.71,1511,Active,2026-06-24,
P007278,S00952,Multivitamin Tablets,Health & Wellness,Medical Devices,Himalaya,4217.0,2413.33,95,Active,2026-02-15,
P005843,S00125,Skipping Rope - Pack of 2,Sports & Fitness,Yoga,Decathlon,5657.87,4672.89,869,Active,2023-04-27,
P001674,S00158,Tyre Inflator Pump,Automotive,Bike Accessories,Bosch,6138.66,3766.29,850,Active,2021-12-26,
P000988,S00270,Fish Oil Omega-3 Capsules - Pack of 2,Health & Wellness,Medical Devices,Himalaya,1758.0,1027.56,1435,Active,2024-03-23,
P002950,S00740,Men's Sports Sneakers Standard,Fashion,Accessories,Roadster,3114.2,1934.77,16,Discontinued,2019-12-22,
P006321,S00683,Herbal Face Wash,Beauty & Personal Care,Haircare,Nivea,728.49,592.96,1362,Inactive,2023-03-20,
P008360,S00919,Multigrain Cereal Combo,Grocery,Personal Care,Fortune,236.05,162.47,1887,Active,2019-07-16,
P005200,S00363,Wooden Puzzle Board Combo,Toys,Makeup,Generic,206.13,145.71,479,Active,2022-06-13,invalid_subcategory
P008418,S00442,Remote Control Car - Pack of 2,Toys,Action Figures,Funskool,1732.67,1153.31,1878,Discontinued,2024-04-13,
P003400,S00473,Action Figure Superhero Standard,Toys,Educational Toys,Funskool,3650.94,2839.27,1543,Inactive,2022-04-22,
P004946,S00838,USB Type-C Fast Charger Premium,Electronics,Mobiles,HP,62809.84,40094.89,396,Active,2022-05-17,
P002414,S00255,Bike Riding Gloves Premium,Automotive,Bike Accessories,Michelin,4602.22,3909.23,1060,Active,2023-11-25,
P003781,S00602,Car Phone Mount Holder Premium,Automotive,Bike Accessories,Studds,2405.73,1782.48,730,Active,2025-04-24,
P005460,S00122,Men's Cotton Casual Shirt (New Edition),Fashion,Men's Clothing,Van Heusen,3289.67,2412.4,224,Inactive,2024-09-20,
P009118,S00924,Bike Riding Gloves Standard,Automotive,Bike Accessories,Bosch,6642.76,4247.96,763,Active,2024-02-29,
P002101,S00321,Fish Oil Omega-3 Capsules (New Edition),Health & Wellness,Personal Health,Generic,520.16,405.63,388,Inactive,2024-06-09,
P001206,S00529,Ceramic Dinner Set - Pack of 2,Home & Kitchen,Storage,Milton,9557.75,5511.13,1755,Active,2021-10-25,
P009000,S00393,Hair Growth Serum Combo,Beauty & Personal Care,Fragrances,Himalaya,1945.1,1304.86,722,Inactive,2021-06-07,
P006094,S00673,Basmati Rice 5kg Standard,Grocery,Personal Care,Haldiram's,902.34,539.57,272,Inactive,2023-02-02,
P002401,S00526,Ceramic Dinner Set Combo,Home & Kitchen,Storage,Prestige,13209.43,8071.97,1288,Active,2025-03-21,
P002413,S00279,Kids Tricycle - Pack of 2,Toys,Board Games,Funskool,3507.32,2799.26,1721,Inactive,2025-02-18,
P002084,S00081,Yoga Mat Anti-Slip (New Edition),Sports & Fitness,Sportswear,Nivia,7754.44,4754.89,1928,Discontinued,2022-01-01,
P001789,S00981,Business Strategy Book (New Edition),Books,Academic,Generic,348.06,204.89,1258,Discontinued,2020-05-05,
P004037,S00653,Herbal Face Wash Standard,Beauty & Personal Care,Fragrances,Mamaearth,2362.35,1360.92,941,Active,2023-09-16,
P007051,S00972,Wireless Bluetooth Headphones Premium,cat123,Cameras,Samsung,51456.66,37314.37,240,Active,2020-08-04,invalid_category
P000717,S00471,Noise Cancelling Earbuds Combo,Electronics,Cameras,JBL,25506.77,16908.46,73,Active,2025-08-28,
P004419,S00766,Ayurvedic Immunity Booster Combo,Health & Wellness,Supplements,Dabur,5921.0,4866.81,1491,Active,2023-04-16,
P004234,S00168,Moisturizing Body Lotion - Pack of 2,Beauty & Personal Care,Personal Hygiene,Nivea,1499.4,1107.43,1567,Inactive,2022-12-20,
P007564,S00407,Aloe Vera Gel - Pack of 2,Beauty & Personal Care,Haircare,Nivea,779.89,542.06,299,Active,2023-02-14,
P001348,S00968,Illustrated Children's Story Book (New Edition),Books,Academic,HarperCollins,137.24,111.62,900,Active,2023-08-15,
P007302,S00088,Business Strategy Book Premium,Books,Non-Fiction,Generic,742.04,429.75,1783,Active,2022-08-25,
